"","employees","salaries2017","salaries2018","change","got_raise"
"48","Employee 48",45465.0665074587,40981.0178051703,-4484.04870228842,FALSE
"49","Employee 49",44486.3775139675,42027.6659284718,-2458.71158549562,FALSE
"50","Employee 50",47137.178578414,50561.7333995178,3424.55482110381,TRUE
"51","Employee 51",42482.36840358,51175.9853397962,8693.61693621613,TRUE
"52","Employee 52",47762.9007189535,50131.7027839832,2368.80206502974,TRUE
"53","Employee 53",47405.9338960797,53436.5435910877,6030.60969500802,TRUE
"54","Employee 54",41828.5635206848,50375.6272420287,8547.06372134387,TRUE
"55","Employee 55",41349.218764808,42368.4755677823,1019.25680297427,TRUE
"56","Employee 56",49172.1842088737,53467.0256241225,4294.84141524881,TRUE
"57","Employee 57",49250.370929949,53153.6028231494,3903.23189320043,TRUE
"58","Employee 58",49056.1637748033,57780.1362343598,8723.97245955653,TRUE
"59","Employee 59",44515.4460077174,53252.9330917168,8737.48708399944,TRUE
"60","Employee 60",45579.7133781016,47337.1443466749,1757.43096857332,TRUE
"61","Employee 61",40388.534264639,36647.5725884084,-3740.96167623065,FALSE
"62","Employee 62",40655.6817260571,43357.6991013251,2702.01737526804,TRUE
"63","Employee 63",46542.2329329886,43081.8113102578,-3460.42162273079,FALSE
"64","Employee 64",44891.790447291,47572.217003908,2680.42655661702,TRUE
"65","Employee 65",42646.7058132403,37690.8445381559,-4955.86127508432,FALSE
"66","Employee 66",42802.1003771573,47429.1255592834,4627.02518212609,TRUE
"67","Employee 67",42628.7565589882,45717.5130711403,3088.75651215203,TRUE
"68","Employee 68",41668.0560284294,46536.6341231856,4868.57809475623,TRUE
"69","Employee 69",49209.0581008233,48703.2575695775,-505.800531245768,FALSE
"70","Employee 70",41532.2961402126,47514.2073864117,5981.91124619916,TRUE
"71","Employee 71",47520.8376022056,42747.7534313221,-4773.08417088352,FALSE
"72","Employee 72",47508.7847746909,46902.8619106393,-605.922864051536,FALSE
"73","Employee 73",46683.6396302097,45680.922663305,-1002.7169669047,FALSE
"74","Employee 74",43164.2033508979,39165.9786971286,-3998.22465376928,FALSE
"75","Employee 75",44449.8799089342,47028.4899231046,2578.61001417041,TRUE
"76","Employee 76",46798.0355001055,46861.8735403288,63.8380402233452,TRUE
"77","Employee 77",45731.7756302655,50928.498870926,5196.7232406605,TRUE
"78","Employee 78",48055.8293801732,49159.6154624131,1103.78608223982,TRUE
"79","Employee 79",46021.0280749016,49224.8829116579,3203.85483675636,TRUE
"80","Employee 80",46469.3462406285,54308.6678010877,7839.32156045921,TRUE
"81","Employee 81",41210.5656298809,42702.3096510675,1491.74402118661,TRUE
"82","Employee 82",44165.5899095349,48422.958800802,4257.36889126711,TRUE
"83","Employee 83",42242.3570696265,49056.7808540072,6814.42378438078,TRUE
"84","Employee 84",42996.3107174262,41210.2323083673,-1786.07840905897,FALSE
"85","Employee 85",47355.7312251069,55863.8576499652,8508.12642485835,TRUE
"86","Employee 86",48879.9315132201,57776.9236825407,8896.99216932058,TRUE
"87","Employee 87",45475.5050945096,53106.4367701765,7630.93167566694,TRUE
"88","Employee 88",40083.129433915,49052.7886454947,8969.65921157971,TRUE
"89","Employee 89",48352.0555030555,46243.2854238432,-2108.77007921226,FALSE
"90","Employee 90",48563.0879970267,52267.7576018032,3704.66960477643,TRUE
"91","Employee 91",49598.0487461202,45591.1177047528,-4006.93104136735,FALSE
"92","Employee 92",47055.2665833384,56657.1405925788,9601.87400924042,TRUE
"93","Employee 93",43930.5981015787,50257.7236562502,6327.12555467151,TRUE
"94","Employee 94",44059.916860424,52992.6652577706,8932.74839734659,TRUE
"95","Employee 95",41115.363331046,50331.9755592383,9216.61222819239,TRUE
"96","Employee 96",47433.8972684927,43049.5434638578,-4384.35380463488,FALSE
"97","Employee 97",46646.3434020989,43886.7451017722,-2759.59830032662,FALSE
"98","Employee 98",46053.7788551301,53456.9464845117,7403.16762938164,TRUE
"99","Employee 99",43346.4123704471,42043.5983338393,-1302.81403660774,FALSE
"100","Employee 100",45396.2019272149,52620.095993625,7223.89406641014,TRUE
